0xffb93fc4,_dadd
0xffb949dc,_dcmp
0xffb94c64,_dcmp_reverse
0xffb942d0,_ddiv
0xffb94868,_dfix
0xffb94918,_dfixu
0xffb949a0,_dflt
0xffb949d0,_dfltu
0xffb924c0,_divmod_signed_int
0xffb93f7c,_divmod_unsigned_int
0xffb94a64,_dmul
0xffb94d04,_drsb
0xffb94ec8,_dsub
0xffb9527c,_f2d
0xffb95428,_fdiv
0xffb9564c,_ffix
0xffb956c0,_ffixu
0xffb95720,_fflt
0xffb95754,_ffltu
0xffb957d4,_fmul
0xff83b244,_GetSystemTime
0xffb93988,_log
0xffb928cc,_log10
0xffb92a3c,_pow
0xffb938cc,_safe_sqrt
0xffb95d1c,_scalbn
0xffb94d54,_sqrt
0xff81fc4c,_uartr_req
0xff956a08,AbortAEIntegralValue_FW
0xff891a00,AcquireRecursiveLock
0xff83aea0,AcquireRecursiveLockStrictly
0xff95886c,ActivateAdjLog_FW
0xff908efc,ActivateImager_FW
0xff908f88,ActivateImagerXOne_FW
0xff9847ec,ActivateUsmCPU_FW
0xffa8e8d4,add_ptp_handler
0xffa45b20,add_ui_to_dialog
0xff99c098,AdditionAgentRAM_FW
0xffab0a14,AddTransparentMemory_FW
0xffb55f88,AdjAEWithAperturePriority_FW
0xffae94ec,AdjustZoomEncoderPi_FW
0xffb55f44,AfAEWithAperturePriority_FW
0xffb56134,AfAEWithCompensation_FW
0xffa7d664,AFTool.GetEVal_FW
0xffaede88,AllocateMemory
0xffaede88,AllocateMemory_FW
0xff83af98,AllocateUncacheableMemory
0xffa4e6e4,apex2us
0xff8b99e8,atol_FW
0xff95777c,AttachIntegCrawData_FW
0xffab0a4c,AttachToTransparentMemory_FW
0xffb4a20c,Bat_Calc_FW
0xffb575a4,Bat_Save_FW
0xffb57590,Bat_VIN_FW
0xff862bac,BeepDrive_FW
0xff862bcc,BeepDriveComp_FW
0xffb92424,bzero
0xff8107f8,cache_clean_flush_and_disable
0xff810904,cache_clean_flush_range
0xff8109a0,cache_clean_range
0xff810798,cache_flush_and_enable
0xff810880,cache_flush_range
0xffb51374,CalcLog10
0xffb513b0,CalcLog10_FW
0xffb5bcf4,CalcLoopGain_FW
0xffb514a0,CalcSqrt_FW
0xffb4a20c,CalculateBatSenseOffset_FW
0xffb51350,CalculateLog2ToApex_FW
0xffb51314,CalculatePeakFromLeastSquareResult_FW
0xffb51364,CalculatePow2FromApex_FW
0xff870d04,CalculateTestRecYUVData_FW
0xff8a2dd0,cameracon_get_state
0xff8a14d4,cameracon_set_state
0xffb55d60,CancelAdj_AEMode_FW
0xffb4ff30,CancelAdjCdsMode_FW
0xffb541ac,CancelBPFilterForBP_FW
0xffb556bc,CancelExStrobeMode_FW
0xffae899c,CancelFocusLensMaxSpeedLimit_FW
0xff895380,CancelHPTimer
0xff9091e4,CancelImageDrive_FW
0xff909104,CancelImager_FW
0xff88070c,CancelLoopGainCalc_FW
0xff83b460,CancelTimer
0xffb532ec,CancelVcmOpenDriveMode_FW
0xff990df0,Capture.Create_FW
0xffb501c0,CaptureWithParam_FW
0xffab0444,ChangeAdjImgDrvMode_FW
0xffab0470,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xffa6cac0,ChangeCrossThresholdTable_FW
0xffa6cd60,ChangeDefectRecParam_FW
0xffb57360,ChangeDistortionSetForLiveImage_FW
0xffb5b94c,ChangeFilterMode_FW
0xffae8b14,ChangeFocusDistanceToPosition_FW
0xffa6c984,ChangeGradeTable_FW
0xffb501d4,ChangeImageDrive_FW
0xff909190,ChangeImagerToAlternateDraft_FW
0xff909140,ChangeImagerToCombiParallel_FW
0xff909188,ChangeImagerToDigiconMode_FW
0xff9091b0,ChangeImagerToFastBP_FW
0xff909150,ChangeImagerToFocusJet_FW
0xff9091c8,ChangeImagerToFocusJetHD_FW
0xff9091b8,ChangeImagerToHarleyDavidson_FW
0xff909178,ChangeImagerToHoneyFlash_FW
0xff9091d8,ChangeImagerToHoneyFlashHD_FW
0xff909168,ChangeImagerToJetDraft_FW
0xff909170,ChangeImagerToJumboDraft_FW
0xff909158,ChangeImagerToMangoPudding_FW
0xff9091d0,ChangeImagerToMangoPuddingHD_FW
0xff909180,ChangeImagerToMillefeAdjust_FW
0xff9091a8,ChangeImagerToMontblancMillefe_FW
0xff9091a0,ChangeImagerToMontblancWhole_FW
0xff909188,ChangeImagerToOITA_XAVIER_FW
0xff909160,ChangeImagerToSuperWideDraft_FW
0xff909198,ChangeImagerToUltraGhostQ_FW
0xff909128,ChangeImagerToWholeParallel_FW
0xff909130,ChangeImagerToWholeParallelBP_FW
0xff909138,ChangeImagerToWholeParallelBPOne_FW
0xff909148,ChangeImagerToWideDraft_FW
0xff9091c0,ChangeImagerToWideDraftHD_FW
0xffae8e74,ChangeIrisSpeed_FW
0xffaeb344,ChangeParallelMode_FW
0xff8801dc,ChangeToISCloseControl_FW
0xff984934,ChangeUsmSpeed_FW
0xffae94c0,ChangeZoomLensMagnificationToPoint_FW
0xffae94b8,ChangeZoomLensPointToMagnification_FW
0xffb556f8,ChargeStrobe_FW
0xffb5572c,ChargeStrobeForFA_FW
0xff891584,CheckAllEventFlag
0xff89153c,CheckAnyEventFlag
0xff898874,CheckSumAll_FW
0xff836048,ClearDUIDFixFlag_FW
0xff835fd8,ClearDurianMode_FW
0xff8917a4,ClearEventFlag
0xff835fd8,ClearFactoryMode_FW
0xff8804ec,ClearISCalcZData_FW
0xffaeb3b8,ClearISIComponent_FW
0xffaeb3dc,ClearISZData_FW
0xffb52178,ClearZoomCommonDriveParam_FW
0xff98755c,ClearZoomDriveParam_FW
0xff8370dc,Close
0xff81ab8c,close
0xff8370dc,Close_FW
0xff81f734,CloseConsole_FW
0xffacdb7c,closedir
0xffae9198,CloseMechaShutter_FW
0xffae91e0,CloseMechaShutterWithTiming_FW
0xffb509c0,CloseMShutter_FW
0xffb78fb4,CommunicateISCPU_FW
0xffab03dc,ConvertAdjImgDrvModeToAdjImgDriveType_FW
0xffab0390,ConvertAEIntegDrvTypeToAdjImgDriveType_FW
0xffb51408,ConvertApexStdToApex_FW
0xffb513d8,ConvertApexToApexStd_FW
0xffb519a4,ConvertCxCyToWBGain_FW
0xffb528c8,ConvertToPositionWithDistanceAndZoomPoint_FW
0xffb50334,ConvertTvToExposureTime_FW
0xff81f490,CPrintf_FW
0xff81f4ec,CPutChar_FW
0xff86c428,CreateAdjustmentTableMirror_FW
0xff83a778,CreateBinarySemaphore
0xff83ad58,CreateBinarySemaphoreStrictly
